id,first_name,gender,part_time_job,absence_days,extracurricular_activities,weekly_self_study_hours,career_aspiration,math_score,history_score,physics_score,chemistry_score,biology_score,english_score,computer_score
327,Steven,male,FALSE,1,FALSE,13,Writer,96,91,96,69,70,99,70
328,Miranda,female,FALSE,1,TRUE,4,Government Officer,79,77,62,98,76,99,82
329,Matthew,male,FALSE,2,FALSE,27,Lawyer,70,88,60,68,66,82,60
330,Kenneth,male,FALSE,5,FALSE,32,Unknown,79,91,62,87,80,65,94
331,Sydney,female,FALSE,1,FALSE,25,Software Engineer,91,65,86,66,88,85,60
332,Carla,female,FALSE,1,FALSE,13,Designer,90,72,78,61,78,88,74
333,Jeffrey,male,FALSE,1,FALSE,31,Construction Engineer,87,100,86,60,80,78,96
334,Angela,female,FALSE,3,FALSE,8,Teacher,69,99,78,85,98,86,73
335,Brandon,male,TRUE,9,FALSE,0,Business Owner,66,99,50,62,97,60,84
336,Kenneth,male,FALSE,7,FALSE,6,Government Officer,65,95,78,65,74,69,63
337,Scott,male,FALSE,2,FALSE,7,Government Officer,83,81,88,82,97,83,74
338,Cody,male,FALSE,1,FALSE,32,Lawyer,100,89,95,63,67,92,75
339,Allen,male,FALSE,5,TRUE,30,Software Engineer,85,70,78,66,69,62,100
340,James,male,FALSE,9,FALSE,4,Business Owner,45,98,95,66,84,83,100
341,Laura,female,FALSE,5,FALSE,15,Government Officer,73,75,94,82,71,90,75
342,Donald,male,FALSE,2,FALSE,2,Game Developer,95,83,96,97,72,77,61
343,Wayne,male,FALSE,8,TRUE,32,Lawyer,96,95,61,72,71,83,96
344,Robert,male,FALSE,2,FALSE,24,Construction Engineer,94,72,96,93,93,79,64
345,Melissa,female,FALSE,1,FALSE,18,Teacher,92,69,69,60,90,88,95
346,David,male,TRUE,10,FALSE,5,Business Owner,56,52,76,95,54,59,85
347,Dawn,female,TRUE,3,FALSE,24,Banker,85,74,65,76,100,95,68
348,Ricky,male,FALSE,1,FALSE,16,Designer,65,90,68,99,74,82,86
349,Henry,male,FALSE,1,FALSE,15,Writer,64,81,95,87,86,91,80
350,Christopher,male,FALSE,3,FALSE,26,Software Engineer,100,88,94,67,62,66,96
351,Aimee,female,FALSE,3,FALSE,15,Teacher,76,64,64,60,75,92,61
352,Tammy,female,FALSE,1,FALSE,5,Game Developer,97,76,91,76,89,60,85
353,Ryan,male,FALSE,1,TRUE,14,Unknown,95,98,98,83,77,93,83
354,Samuel,male,FALSE,4,FALSE,1,Game Developer,85,64,90,94,68,97,61
355,Joshua,male,FALSE,5,FALSE,10,Construction Engineer,86,91,96,60,91,73,88
356,Sydney,female,FALSE,6,FALSE,5,Business Owner,100,58,58,100,60,52,82
357,Christopher,male,FALSE,2,FALSE,26,Unknown,65,77,66,100,88,77,62
358,Brenda,female,FALSE,2,TRUE,26,Lawyer,71,81,99,74,74,82,67
359,Diana,female,FALSE,2,FALSE,14,Government Officer,80,94,97,83,84,77,79
360,Gary,male,FALSE,7,TRUE,21,Construction Engineer,91,76,96,77,99,64,83
361,Kimberly,female,FALSE,2,FALSE,32,Software Engineer,91,87,88,82,95,70,87
362,Jeffrey,male,FALSE,0,FALSE,30,Software Engineer,100,86,81,100,66,98,97
363,Nicole,female,FALSE,3,FALSE,13,Teacher,92,79,71,65,99,91,98
364,Kristin,female,FALSE,7,FALSE,33,Banker,89,76,95,83,84,96,61
365,Emily,female,FALSE,3,FALSE,15,Accountant,93,92,92,76,49,93,75
366,Francis,male,FALSE,10,FALSE,33,Unknown,81,64,67,74,65,94,96
367,Tracy,male,FALSE,2,FALSE,11,Designer,70,73,70,67,96,86,89
368,Sheila,female,FALSE,2,FALSE,30,Unknown,61,70,89,97,60,79,79
369,Ashley,female,FALSE,7,FALSE,2,Business Owner,62,53,78,77,59,95,80
370,Matthew,male,FALSE,3,FALSE,4,Stock Investor,83,61,79,99,66,60,76
371,Timothy,male,FALSE,3,FALSE,32,Software Engineer,85,96,87,63,69,69,81
372,Christine,female,TRUE,7,FALSE,0,Business Owner,83,55,87,74,73,77,61
373,Julie,female,FALSE,2,FALSE,4,Business Owner,73,95,54,94,99,58,94
374,William,male,TRUE,10,TRUE,0,Business Owner,61,65,73,78,77,97,96
375,Kristen,female,FALSE,5,TRUE,21,Unknown,77,72,81,63,69,73,80
376,Chelsea,female,FALSE,2,FALSE,29,Writer,77,87,65,91,71,90,90
377,Patrick,male,FALSE,3,FALSE,32,Unknown,99,94,94,62,68,79,68
378,Carla,female,FALSE,7,FALSE,14,Unknown,73,69,94,78,76,63,71
379,Casey,male,FALSE,1,FALSE,25,Lawyer,95,89,96,89,60,99,93
380,Eric,male,FALSE,7,TRUE,4,Unknown,94,79,92,100,93,63,98
381,Tabitha,female,FALSE,2,TRUE,32,Stock Investor,75,83,85,65,76,94,60
382,Lance,male,FALSE,2,FALSE,7,Unknown,66,83,77,91,84,74,62
383,Melissa,female,TRUE,1,FALSE,22,Software Engineer,91,79,89,74,79,74,61
384,James,male,FALSE,5,FALSE,3,Unknown,81,61,75,65,90,92,80
385,Joseph,male,TRUE,8,FALSE,1,Business Owner,71,69,69,67,70,78,66
386,Gene,male,FALSE,4,TRUE,23,Writer,77,94,97,77,63,98,98
387,Patricia,female,FALSE,0,FALSE,42,Doctor,91,87,93,85,98,85,95
388,John,male,FALSE,1,FALSE,30,Scientist,83,98,100,93,100,77,76
389,Sara,female,FALSE,1,FALSE,1,Business Owner,75,51,70,84,66,64,88
390,Jamie,female,TRUE,3,TRUE,17,Software Engineer,86,96,68,71,86,94,89
391,Steven,male,FALSE,2,FALSE,48,Doctor,86,88,89,89,98,89,96
392,Nicholas,male,FALSE,4,TRUE,24,Software Engineer,85,67,60,82,77,72,72
393,Cheryl,female,FALSE,6,FALSE,31,Writer,62,81,80,88,78,94,85
394,Marc,male,TRUE,7,FALSE,0,Business Owner,100,65,67,61,76,58,84
395,Timothy,male,FALSE,9,FALSE,2,Business Owner,79,86,97,60,66,74,96
396,Courtney,female,FALSE,1,FALSE,24,Lawyer,99,97,68,85,86,85,73
397,Samantha,female,FALSE,7,FALSE,2,Business Owner,46,65,97,100,56,73,95
398,Francisco,male,FALSE,0,FALSE,32,Software Engineer,85,97,88,61,80,80,84
399,Denise,female,FALSE,2,FALSE,4,Government Officer,85,68,89,64,79,66,66
400,Darrell,male,FALSE,4,FALSE,32,Software Engineer,85,87,91,63,95,88,62
401,Andrew,male,FALSE,3,FALSE,16,Stock Investor,99,86,90,100,96,77,60
402,Teresa,female,FALSE,1,FALSE,20,Banker,84,92,63,91,89,92,76
403,Cory,male,FALSE,4,FALSE,28,Construction Engineer,85,72,87,72,68,85,78
404,Douglas,male,FALSE,7,FALSE,30,Software Engineer,100,79,92,92,67,68,72
405,Deborah,female,FALSE,3,FALSE,17,Banker,86,61,68,91,60,86,62
406,Autumn,female,FALSE,5,FALSE,25,Unknown,79,70,71,95,79,77,68
407,Paul,male,FALSE,5,FALSE,18,Accountant,76,82,76,71,70,89,76
408,Matthew,male,TRUE,1,FALSE,23,Software Engineer,96,63,69,67,69,92,77
409,Evan,male,FALSE,4,TRUE,23,Software Engineer,100,77,75,74,80,94,74
410,Cynthia,female,FALSE,6,FALSE,21,Software Engineer,88,84,87,97,94,87,85
411,Sandra,female,FALSE,3,FALSE,27,Software Engineer,96,76,98,89,93,85,75
412,Claudia,female,FALSE,5,FALSE,14,Software Engineer,92,66,96,71,87,89,61
413,Christopher,male,FALSE,2,TRUE,37,Doctor,87,93,99,100,97,92,90
414,David,male,FALSE,3,FALSE,29,Accountant,95,82,74,87,36,61,88
415,Joel,male,TRUE,6,FALSE,4,Business Owner,44,76,56,71,66,54,91
416,Rhonda,female,FALSE,3,FALSE,16,Banker,78,89,68,63,81,92,97
417,Melissa,female,FALSE,4,FALSE,30,Accountant,95,78,93,85,48,68,75
418,Matthew,male,TRUE,7,FALSE,1,Business Owner,57,56,53,75,98,92,73
419,Austin,male,FALSE,3,TRUE,24,Software Engineer,86,99,95,94,92,90,77
420,Jennifer,female,FALSE,2,FALSE,35,Writer,92,97,100,91,95,90,95
421,Patricia,female,FALSE,1,FALSE,14,Teacher,69,69,84,100,69,77,87
422,Sandra,female,FALSE,1,FALSE,3,Designer,91,62,75,60,82,91,96
423,Jasmine,female,FALSE,4,FALSE,15,Accountant,79,79,97,78,31,99,84
424,Jeffrey,male,FALSE,5,FALSE,23,Software Engineer,93,96,80,64,91,68,71
425,Jason,male,FALSE,6,FALSE,19,Unknown,90,79,90,73,76,68,95
426,Christopher,male,FALSE,3,FALSE,33,Doctor,99,68,100,95,95,88,83
427,Monique,female,FALSE,0,FALSE,14,Banker,90,69,81,92,65,89,69
428,Jill,female,FALSE,1,TRUE,0,Artist,71,84,66,75,93,84,69
429,Jennifer,female,FALSE,1,FALSE,34,Lawyer,98,93,67,74,81,87,76
430,David,male,FALSE,5,FALSE,33,Scientist,94,99,83,94,93,95,93
431,Cheryl,female,FALSE,7,FALSE,7,Stock Investor,92,89,79,76,86,61,81
432,Nathan,male,FALSE,2,FALSE,18,Software Engineer,100,96,74,61,87,94,60
433,Patrick,male,FALSE,9,FALSE,4,Business Owner,48,55,86,51,54,94,61
434,Christian,male,FALSE,6,FALSE,10,Real Estate Developer,63,87,71,68,66,67,99
435,Clinton,male,TRUE,2,FALSE,22,Software Engineer,89,83,89,91,94,93,69
436,Adriana,female,FALSE,5,FALSE,28,Stock Investor,88,90,93,81,88,90,74
437,Jeremy,male,FALSE,2,FALSE,2,Real Estate Developer,98,87,67,97,62,60,79
438,Caitlin,female,FALSE,1,FALSE,0,Business Owner,92,86,88,75,60,50,79
439,Andrew,male,FALSE,3,FALSE,24,Doctor,80,60,100,99,98,75,94
440,Rodney,male,FALSE,2,FALSE,15,Construction Engineer,92,63,91,65,69,94,98
441,Megan,female,TRUE,2,FALSE,1,Artist,82,95,68,64,97,99,60
442,Mathew,male,FALSE,1,FALSE,8,Stock Investor,84,74,74,75,99,99,85
443,Tammie,female,FALSE,7,FALSE,9,Teacher,61,70,65,67,93,81,63
444,James,male,FALSE,4,FALSE,33,Software Engineer,99,87,98,76,65,94,67
445,Michelle,female,FALSE,3,FALSE,32,Accountant,83,69,90,78,39,95,82
446,Rhonda,female,TRUE,9,FALSE,4,Business Owner,56,90,95,59,91,77,99
447,Matthew,male,FALSE,2,FALSE,2,Business Owner,65,64,52,56,63,82,83
448,Joseph,male,FALSE,3,FALSE,20,Designer,94,61,77,73,79,65,89
449,Jessica,female,FALSE,1,FALSE,21,Software Engineer,90,96,73,89,93,87,96
450,Susan,female,FALSE,3,FALSE,29,Lawyer,94,82,81,90,76,97,86
451,Lori,female,FALSE,3,FALSE,13,Unknown,89,87,63,83,64,85,72
452,Ryan,male,FALSE,1,FALSE,24,Accountant,89,67,68,93,98,75,88
453,Nicholas,male,FALSE,7,FALSE,30,Doctor,88,98,87,85,96,77,96
454,Joseph,male,FALSE,1,FALSE,25,Stock Investor,76,94,90,75,92,86,87
455,Daniel,male,FALSE,1,FALSE,1,Designer,88,78,84,96,92,99,97
456,Harold,male,FALSE,4,FALSE,27,Software Engineer,88,76,80,72,100,69,71
457,Lance,male,FALSE,0,TRUE,4,Real Estate Developer,54,88,82,89,72,60,69
458,Jill,female,FALSE,2,TRUE,32,Banker,87,87,76,67,68,89,77
459,Crystal,female,FALSE,1,FALSE,1,Artist,95,73,79,81,82,69,100
460,Susan,female,FALSE,2,FALSE,32,Designer,72,72,68,81,95,90,99
461,Brenda,female,FALSE,1,TRUE,4,Real Estate Developer,95,76,70,89,88,87,62
462,Samuel,male,FALSE,4,FALSE,28,Software Engineer,91,97,86,77,83,79,62
463,Taylor,female,FALSE,3,TRUE,32,Lawyer,79,81,63,79,96,96,89
464,Kimberly,female,FALSE,1,FALSE,33,Doctor,80,71,94,92,92,60,78
465,Brad,male,TRUE,2,FALSE,4,Business Owner,86,90,88,73,50,93,71
466,Clayton,male,FALSE,1,FALSE,31,Software Engineer,88,88,90,67,77,83,64
467,Richard,male,FALSE,5,FALSE,17,Construction Engineer,83,95,86,80,64,66,97
468,Antonio,male,FALSE,2,FALSE,23,Doctor,84,84,80,97,87,97,91
469,Margaret,female,FALSE,0,FALSE,29,Software Engineer,85,82,81,85,72,90,71
470,Michael,male,FALSE,2,FALSE,19,Software Engineer,91,85,96,83,74,87,74
471,Allen,male,TRUE,4,TRUE,26,Banker,83,71,94,60,63,93,67
472,Stephanie,female,FALSE,7,FALSE,7,Real Estate Developer,97,93,99,98,96,79,88
473,Sharon,female,FALSE,6,FALSE,4,Real Estate Developer,63,68,92,73,66,69,87
474,Marco,male,FALSE,6,FALSE,22,Doctor,92,98,90,82,86,86,89
475,Victor,male,TRUE,6,TRUE,4,Business Owner,78,78,64,94,79,92,63
476,Christina,female,FALSE,3,FALSE,29,Lawyer,78,90,69,100,90,91,90
477,Jerry,male,FALSE,8,TRUE,21,Stock Investor,89,60,93,79,72,76,85
478,Madison,female,FALSE,3,FALSE,5,Real Estate Developer,53,87,100,84,63,62,95
479,Douglas,male,FALSE,5,FALSE,15,Unknown,63,84,60,85,91,83,84
480,Manuel,male,FALSE,3,TRUE,10,Unknown,100,98,71,100,71,92,63
481,Janet,female,TRUE,7,FALSE,2,Business Owner,79,54,81,87,67,74,85
482,Teresa,female,FALSE,4,TRUE,0,Real Estate Developer,93,77,71,62,94,69,72
483,Anthony,male,FALSE,5,TRUE,3,Artist,97,88,67,72,83,87,62
484,Julie,female,FALSE,6,TRUE,1,Unknown,76,82,93,98,98,60,65
485,Maria,female,FALSE,3,TRUE,26,Accountant,84,83,80,91,88,61,61
486,Selena,female,TRUE,5,FALSE,2,Business Owner,56,96,65,61,78,77,95
487,Whitney,female,FALSE,3,FALSE,21,Unknown,97,89,94,91,95,70,75
488,Brenda,female,FALSE,10,FALSE,5,Business Owner,67,60,97,53,93,78,81
489,Angela,female,TRUE,10,FALSE,5,Business Owner,97,93,64,74,94,74,76
490,Erica,female,FALSE,5,FALSE,0,Business Owner,100,67,50,78,73,90,91
491,Kelly,female,FALSE,5,TRUE,10,Teacher,83,61,76,75,62,79,94
492,Michael,male,FALSE,5,FALSE,2,Artist,85,63,83,83,69,94,80
493,Tammy,female,FALSE,5,TRUE,24,Banker,100,96,97,64,76,77,61
494,Steven,male,FALSE,4,FALSE,46,Doctor,92,98,99,86,100,86,87
495,Matthew,male,FALSE,3,FALSE,31,Writer,88,98,65,68,99,94,79
496,Stephen,male,FALSE,1,FALSE,33,Lawyer,95,82,62,76,64,91,79
497,Victoria,female,FALSE,5,FALSE,26,Stock Investor,76,81,84,80,80,84,70
498,Thomas,male,FALSE,2,FALSE,19,Accountant,79,93,72,97,69,78,87
499,Mark,male,FALSE,3,FALSE,25,Software Engineer,93,70,84,68,71,85,70
500,Katelyn,female,FALSE,3,FALSE,24,Accountant,79,96,78,90,94,76,88
501,Corey,male,FALSE,1,FALSE,21,Stock Investor,98,99,72,100,94,77,84
502,Susan,female,TRUE,8,TRUE,0,Business Owner,93,99,81,67,87,76,60
503,John,male,FALSE,4,FALSE,30,Banker,91,79,78,95,86,89,100
504,Kendra,female,FALSE,4,FALSE,32,Software Engineer,86,99,77,61,72,92,70
505,Tamara,female,FALSE,8,FALSE,15,Unknown,81,80,85,93,68,75,90
506,Sara,female,FALSE,6,FALSE,15,Government Officer,97,94,94,83,91,65,96
507,Morgan,female,FALSE,3,TRUE,4,Game Developer,90,95,89,93,92,99,88
508,Eric,male,FALSE,1,TRUE,27,Software Engineer,90,91,62,82,76,70,64
509,Paul,male,FALSE,5,FALSE,33,Construction Engineer,82,92,95,61,84,81,82
510,Dale,male,FALSE,7,FALSE,25,Software Engineer,91,94,89,74,60,77,77
511,Sandra,female,FALSE,0,FALSE,29,Lawyer,70,94,67,74,84,95,65
512,Dawn,female,FALSE,2,FALSE,13,Unknown,60,75,70,96,63,82,80
513,Emily,female,FALSE,3,FALSE,49,Doctor,85,96,99,94,95,92,95
514,John,male,FALSE,6,FALSE,34,Lawyer,82,85,72,69,63,99,68
515,Andrew,male,TRUE,4,FALSE,28,Construction Engineer,83,79,92,69,85,71,95
516,Holly,female,FALSE,2,FALSE,44,Doctor,96,88,100,95,85,94,93
517,Alicia,female,FALSE,1,FALSE,14,Software Engineer,85,87,78,72,91,88,93
518,Erin,female,FALSE,4,FALSE,1,Real Estate Developer,95,61,84,98,63,66,80
519,Todd,male,FALSE,6,FALSE,22,Software Engineer,97,92,87,61,75,62,94
520,Melinda,female,FALSE,2,FALSE,11,Teacher,95,69,91,97,89,84,66
521,Cynthia,female,FALSE,3,FALSE,2,Unknown,69,98,77,63,88,64,60
522,Jenny,female,FALSE,9,FALSE,3,Business Owner,84,55,65,62,56,91,81
523,Angela,female,FALSE,5,FALSE,28,Banker,92,100,100,98,83,75,72
524,William,male,TRUE,2,FALSE,0,Business Owner,87,95,78,82,53,59,66
525,Michael,male,FALSE,5,FALSE,22,Banker,97,87,90,70,96,75,93
526,Erin,female,TRUE,8,FALSE,3,Business Owner,92,96,77,95,63,57,90
527,Robert,male,FALSE,2,FALSE,25,Unknown,72,91,68,79,98,71,89
528,Deborah,female,FALSE,3,TRUE,1,Business Owner,50,55,96,72,55,50,64
529,Diana,female,FALSE,7,FALSE,37,Doctor,97,96,93,94,91,96,87
530,Meredith,female,FALSE,3,TRUE,28,Software Engineer,89,77,69,72,63,84,99
531,Christina,female,FALSE,3,FALSE,30,Scientist,77,76,90,95,94,99,94
532,Daniel,male,FALSE,1,FALSE,19,Stock Investor,91,89,66,69,100,88,79
533,Bradley,male,TRUE,7,FALSE,2,Business Owner,64,92,70,81,85,55,76
534,Phyllis,female,TRUE,4,FALSE,26,Unknown,71,87,63,73,89,77,66
535,Thomas,male,FALSE,10,TRUE,0,Business Owner,56,79,74,66,92,57,61
536,Gregory,male,FALSE,4,FALSE,5,Game Developer,87,70,98,64,65,78,83
537,Michelle,female,FALSE,0,FALSE,17,Software Engineer,99,69,85,91,77,88,75
538,Christopher,male,FALSE,2,FALSE,26,Lawyer,98,88,76,72,92,81,89
539,Mark,male,FALSE,2,FALSE,32,Unknown,87,83,74,61,81,72,98
540,Lauren,female,FALSE,6,TRUE,16,Software Engineer,88,96,90,92,68,97,73
541,Michelle,female,TRUE,8,FALSE,2,Business Owner,71,52,53,64,89,76,70
542,Scott,male,FALSE,2,FALSE,35,Construction Engineer,96,90,91,95,99,95,99
543,Monica,female,FALSE,0,FALSE,17,Accountant,81,95,99,65,56,79,98
544,Kathryn,female,FALSE,9,FALSE,3,Business Owner,94,92,63,84,79,66,96
545,Christina,female,TRUE,3,FALSE,47,Doctor,94,87,98,90,92,88,100
546,Andrew,male,FALSE,0,FALSE,29,Lawyer,98,87,75,63,85,88,75
547,Holly,female,FALSE,10,FALSE,5,Business Owner,100,58,54,97,58,51,80
548,Christopher,male,FALSE,3,TRUE,12,Designer,66,89,65,99,84,84,86
549,Eric,male,FALSE,2,FALSE,35,Doctor,94,99,97,94,85,97,97
550,Kristina,female,TRUE,0,FALSE,3,Game Developer,83,90,93,89,64,63,82
551,Greg,male,TRUE,8,FALSE,2,Business Owner,92,54,50,88,90,91,95
552,Paul,male,FALSE,10,FALSE,35,Software Engineer,93,100,90,94,97,98,98
553,Alexander,male,TRUE,1,FALSE,7,Government Officer,69,92,84,98,98,83,87
554,Carla,female,FALSE,4,FALSE,15,Software Engineer,94,71,63,73,66,90,91
555,Chelsea,female,FALSE,1,FALSE,3,Stock Investor,100,92,95,90,67,81,66
556,Justin,male,FALSE,2,FALSE,35,Unknown,96,92,98,100,94,93,86
557,Charles,male,FALSE,3,TRUE,28,Lawyer,76,87,99,69,89,93,85
558,Courtney,female,FALSE,9,FALSE,4,Business Owner,77,62,94,65,77,77,95
559,Justin,male,FALSE,1,TRUE,4,Artist,84,67,79,60,69,80,98
560,Bruce,male,FALSE,3,TRUE,16,Software Engineer,95,61,68,75,64,76,66
561,Christopher,male,FALSE,1,FALSE,26,Accountant,90,64,94,84,66,61,72
562,Theodore,male,FALSE,3,FALSE,30,Unknown,96,89,73,75,99,89,71
563,Jennifer,female,TRUE,6,FALSE,2,Business Owner,80,81,92,73,71,71,84
564,Alexandra,female,FALSE,2,FALSE,34,Software Engineer,87,83,75,73,92,91,71
565,John,male,FALSE,10,FALSE,0,Business Owner,94,75,91,64,67,93,65
566,Sherry,female,FALSE,10,TRUE,3,Artist,87,82,88,100,73,96,75
567,Douglas,male,FALSE,2,FALSE,30,Software Engineer,95,97,88,77,96,96,74
568,Alex,male,TRUE,3,TRUE,15,Construction Engineer,85,96,82,64,82,94,81
569,Brandon,male,FALSE,8,TRUE,1,Business Owner,67,65,77,72,94,88,77
570,Wayne,male,FALSE,3,TRUE,6,Government Officer,84,100,92,82,85,70,69
571,Pamela,female,FALSE,7,TRUE,1,Game Developer,83,88,90,100,71,98,96
572,Michael,male,TRUE,9,TRUE,5,Business Owner,67,78,68,51,77,72,78
573,Carlos,male,FALSE,1,FALSE,30,Banker,75,92,72,88,92,77,84
574,Antonio,male,FALSE,3,TRUE,8,Government Officer,67,76,70,73,81,85,80
575,Terry,male,TRUE,9,FALSE,5,Business Owner,67,54,51,72,75,60,88
576,Rita,female,FALSE,1,FALSE,5,Artist,72,91,78,97,86,93,77
577,Joseph,male,FALSE,4,FALSE,4,Government Officer,78,98,76,68,86,91,82
578,Alexandra,female,FALSE,1,FALSE,47,Doctor,85,87,92,96,92,90,88
579,Tina,female,FALSE,3,TRUE,16,Stock Investor,100,70,69,61,100,65,81
580,Christopher,male,TRUE,5,FALSE,3,Business Owner,56,59,89,68,79,83,68
581,Christina,female,FALSE,5,TRUE,32,Scientist,93,75,83,99,100,91,74
582,Jessica,female,FALSE,2,FALSE,31,Banker,89,91,85,69,76,92,94
583,Tyler,male,FALSE,3,FALSE,6,Real Estate Developer,59,88,74,92,72,97,64
584,Lindsay,female,FALSE,3,FALSE,16,Unknown,99,70,74,65,99,74,62
585,Gary,male,FALSE,6,FALSE,34,Lawyer,89,89,85,74,78,87,82
586,Luke,male,FALSE,3,FALSE,26,Software Engineer,86,63,78,78,80,67,97
587,Tanya,female,FALSE,6,FALSE,21,Banker,79,65,91,65,61,88,95
588,Bryan,male,FALSE,3,FALSE,46,Doctor,96,89,91,90,90,91,99
589,Melanie,female,FALSE,6,FALSE,48,Doctor,95,90,85,90,96,89,96
590,Eric,male,TRUE,1,FALSE,46,Doctor,96,85,90,95,100,96,88
591,Meredith,female,TRUE,3,FALSE,28,Unknown,95,80,64,97,85,94,60
592,David,male,TRUE,4,FALSE,2,Unknown,80,62,84,95,71,85,87
593,William,male,TRUE,0,FALSE,32,Stock Investor,86,70,73,85,67,91,98
594,Eric,male,TRUE,10,FALSE,5,Business Owner,42,95,99,61,62,77,99
595,Wendy,female,FALSE,4,FALSE,31,Lawyer,80,93,93,94,81,81,78
596,Timothy,male,FALSE,4,TRUE,1,Artist,79,97,100,94,65,62,76
597,Victoria,female,TRUE,9,TRUE,4,Business Owner,43,63,91,67,74,71,88
598,Jeremy,male,FALSE,2,TRUE,8,Real Estate Developer,58,84,95,66,99,91,70
599,Barbara,female,FALSE,3,TRUE,23,Accountant,86,73,83,93,46,91,70
600,Lindsay,female,FALSE,1,FALSE,23,Doctor,96,91,97,84,89,82,75
601,Gary,male,FALSE,1,FALSE,28,Lawyer,91,88,98,89,75,91,92
602,Michelle,female,FALSE,1,FALSE,7,Unknown,85,62,77,62,80,88,83
603,Susan,female,FALSE,0,FALSE,5,Artist,87,91,93,92,97,95,99
604,Tammy,female,FALSE,2,FALSE,4,Unknown,60,91,85,67,98,61,64
605,Jennifer,female,FALSE,2,FALSE,26,Unknown,76,85,67,60,100,63,64
606,Kelly,female,FALSE,4,TRUE,33,Lawyer,84,89,74,79,86,93,95
607,Brittany,female,FALSE,4,TRUE,34,Lawyer,87,94,74,84,77,82,85
608,Samantha,female,TRUE,4,FALSE,16,Accountant,82,79,64,75,93,82,60
609,Christopher,male,FALSE,4,FALSE,3,Business Owner,64,61,73,70,87,75,100
610,William,male,FALSE,3,FALSE,25,Lawyer,77,80,88,84,84,92,82
611,Courtney,female,FALSE,0,FALSE,4,Stock Investor,86,82,90,69,66,93,94
612,Kevin,male,FALSE,0,FALSE,4,Real Estate Developer,81,84,76,88,84,89,87
613,Melissa,female,FALSE,3,FALSE,21,Software Engineer,91,90,92,78,67,86,71
614,Elizabeth,female,FALSE,7,FALSE,4,Business Owner,72,99,61,67,95,98,89
615,Mary,female,FALSE,3,FALSE,24,Writer,80,70,80,96,72,99,65
616,Joshua,male,FALSE,2,FALSE,16,Unknown,90,89,98,70,79,60,92
617,Joshua,male,FALSE,10,FALSE,2,Business Owner,72,51,52,98,50,90,63
618,Travis,male,FALSE,3,FALSE,35,Software Engineer,93,85,89,93,90,91,88
619,Kenneth,male,FALSE,2,FALSE,24,Doctor,95,85,90,94,91,84,85
620,Ryan,male,FALSE,2,TRUE,46,Doctor,86,93,89,90,100,86,93
621,Gina,female,FALSE,6,FALSE,1,Business Owner,89,55,89,67,55,64,70
622,David,male,FALSE,5,FALSE,26,Unknown,90,75,67,85,64,95,96
623,William,male,FALSE,1,FALSE,5,Unknown,79,95,81,67,66,71,66
624,Judy,female,TRUE,5,FALSE,17,Teacher,86,88,98,66,62,95,90
625,Logan,male,FALSE,3,FALSE,4,Artist,83,78,68,72,77,89,70
626,Kyle,male,FALSE,6,FALSE,27,Lawyer,85,92,62,95,65,89,95
627,Mark,male,FALSE,3,FALSE,0,Artist,66,78,86,87,64,65,64
628,Eugene,male,FALSE,6,TRUE,16,Accountant,93,80,60,62,43,68,67
629,Sean,male,FALSE,6,TRUE,14,Unknown,65,89,79,95,71,61,62
630,Christine,female,TRUE,2,FALSE,5,Real Estate Developer,52,66,98,83,92,82,91
631,Melinda,female,FALSE,3,TRUE,31,Banker,90,80,84,70,65,89,64
632,Elizabeth,female,FALSE,2,TRUE,4,Artist,83,89,99,100,73,86,88
633,Walter,male,FALSE,1,FALSE,5,Artist,62,89,72,68,85,80,75
634,Lisa,female,FALSE,1,FALSE,11,Writer,98,72,99,84,60,95,93
635,Douglas,male,FALSE,8,TRUE,12,Unknown,76,75,74,67,76,82,79
636,Heather,female,FALSE,0,FALSE,5,Game Developer,97,62,98,70,67,71,70
637,Melinda,female,TRUE,6,FALSE,1,Business Owner,63,60,95,99,87,58,66
638,Alexander,male,FALSE,5,FALSE,2,Artist,98,99,64,88,72,87,99
639,Maria,female,TRUE,10,FALSE,1,Business Owner,78,84,84,61,88,67,92
640,Lindsey,female,FALSE,2,TRUE,30,Stock Investor,85,77,89,77,84,71,71
641,Darryl,male,FALSE,6,FALSE,0,Business Owner,59,100,84,93,70,56,74
642,Bethany,female,FALSE,2,TRUE,6,Unknown,99,77,88,60,93,61,96
643,Tyler,male,FALSE,6,TRUE,24,Accountant,76,62,86,80,47,85,71
644,Patricia,female,FALSE,7,FALSE,26,Lawyer,80,90,85,89,85,80,68
645,Ryan,male,FALSE,7,FALSE,0,Business Owner,82,74,92,50,77,98,100
646,Levi,male,FALSE,1,FALSE,18,Software Engineer,89,64,72,61,75,68,83
647,Michael,male,FALSE,4,FALSE,20,Software Engineer,89,79,75,80,97,94,68
648,April,female,FALSE,0,FALSE,23,Software Engineer,86,89,94,95,60,90,90
649,Steven,male,TRUE,4,FALSE,4,Business Owner,65,76,92,86,93,61,97
650,Chelsea,female,FALSE,4,FALSE,30,Banker,77,95,77,84,60,90,89
651,Emily,female,FALSE,4,FALSE,34,Banker,88,85,68,62,64,99,66
652,Rachel,female,FALSE,1,FALSE,26,Accountant,98,77,94,87,44,85,61
653,Philip,male,FALSE,5,FALSE,27,Lawyer,84,86,90,80,72,99,85
654,Laura,female,FALSE,1,TRUE,18,Software Engineer,91,85,66,83,70,71,80
